Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
10-03-2021,290,290.7000122,283.75,286.1499939,134619
12-03-2021,288.7000122,298.7000122,284.4500122,292.7999878,149045
15-03-2021,294.2999878,301.7000122,286.6499939,297.75,195165
16-03-2021,299.2000122,299.2000122,286,287.2999878,96470
17-03-2021,285.5,288,279.8500061,280.3999939,48936
18-03-2021,281.5,286.25,276,281.25,69015
19-03-2021,282.7000122,287.75,276,279.5,79756
22-03-2021,285,285,278.25,280.6499939,49178
23-03-2021,281.5,297,281.5,294.25,112424
24-03-2021,293.9500122,295,274.2000122,277.3500061,412332
25-03-2021,282.3500061,283.9500122,276,281.3500061,64223
26-03-2021,282.6499939,298,280.5499878,296.8999939,292990
30-03-2021,296.1000061,299.6499939,285,290.25,134984
31-03-2021,290.25,294.3500061,286,287.5499878,29106
01-04-2021,289.7999878,294.25,286,288.25,106569
05-04-2021,293.7000122,298.2000122,285.25,286.2999878,84116
06-04-2021,288.2999878,294,285.25,288.3500061,219817
07-04-2021,289.3500061,297.7999878,288.8500061,294.75,236270
08-04-2021,297.8999939,309.2000122,295.4500122,303.7000122,209700
09-04-2021,304.6000061,325,301.0499878,317.1499939,458411
12-04-2021,318.7000122,318.7000122,302.7000122,304.9500122,87548
13-04-2021,306.1000061,307.75,297.2000122,299.6499939,72222
15-04-2021,301.2000122,317.5,300.9500122,308.2000122,278416
16-04-2021,309.75,317.5,309.1499939,313.8500061,149797
19-04-2021,310.8500061,322,303.0499878,318.8500061,157568
20-04-2021,328,337,313.3500061,320.25,773235
22-04-2021,324.75,332.25,319.7000122,325.1499939,212455
23-04-2021,330.0499878,333,324.25,328.7999878,214590
26-04-2021,334.8999939,340,325,332.8999939,228566
27-04-2021,337.0499878,339.2999878,330,330.9500122,257623
28-04-2021,333.5,338.0499878,330.3500061,336.2000122,239838
29-04-2021,339.75,348,326.5,329.6499939,631925
30-04-2021,328,334.4500122,325.3500061,328.5,101046
03-05-2021,325,332.8500061,325,327.1000061,111456
04-05-2021,329.6499939,332.5,320.25,322.7999878,261663
05-05-2021,325,348,321.6000061,344.75,718604
06-05-2021,349,377.7000122,331.75,358.4500122,1852058
07-05-2021,364,369.8999939,355.1000061,358.8999939,298687
10-05-2021,362.8500061,365.7999878,357,362.1499939,284425
11-05-2021,361.8500061,369,348.3999939,357.25,353068
12-05-2021,360,360,350,352,208793
14-05-2021,353.7000122,357,350,354.6000061,106146
17-05-2021,356.3500061,356.8999939,344.3500061,350.2000122,182140
18-05-2021,354,354,345.1499939,348.1000061,122341
19-05-2021,349,351.4500122,341.0499878,342.8500061,118613
20-05-2021,344.6000061,346.7999878,334.7999878,336.75,89669
21-05-2021,335.5,355,335.5,348.75,191343
24-05-2021,355.75,365,355.75,358.6499939,214306
25-05-2021,362,369,333.25,338.2000122,1016834
26-05-2021,356.7000122,405.7999878,350,397.3500061,4905111
27-05-2021,402.2000122,405.5,381,388.8999939,1059917
28-05-2021,389,425.5,386.1000061,394.8500061,3124583
31-05-2021,399.7999878,403.75,387,393.1000061,617936
01-06-2021,393,396.2000122,371,374.2999878,433447
02-06-2021,376,399,375.7999878,396.5499878,702923
03-06-2021,399.75,408.5499878,385.75,392.4500122,573037
04-06-2021,392.3500061,399.4500122,390.0499878,391.6000061,248802
07-06-2021,394,397.9500122,389.9500122,395.2999878,176662
08-06-2021,397,432.7000122,389,425.0499878,1042172
09-06-2021,427,433.8999939,400.5,407.0499878,630722
10-06-2021,410,423.7999878,409.5499878,415.2000122,252473
11-06-2021,419.5,421.9500122,410.0499878,418.9500122,140194
14-06-2021,416.3999939,416.3999939,395.25,405.2000122,241707
15-06-2021,404,415,404,409.6000061,182649
16-06-2021,410,420.2999878,400,406.1499939,251678
17-06-2021,403.5,412,401.2000122,403.1499939,164418
18-06-2021,405.9500122,419.3999939,397.1499939,407.25,261972
21-06-2021,404,417,399.8999939,412.5499878,136669
22-06-2021,422.9500122,423.0499878,407.4500122,411.3999939,119240
23-06-2021,413,414,399,401.3999939,94082
24-06-2021,403.2000122,408.4500122,395.2000122,397.7000122,65295
25-06-2021,399.5,410.25,390.2000122,391.8999939,124564
28-06-2021,394.7000122,405,386,392.5,154872
29-06-2021,392.8500061,400.6499939,392.0499878,394.7999878,311925
30-06-2021,395.5499878,422.8999939,395.5499878,412.7000122,535663
01-07-2021,419.7000122,422.1000061,414,418.5499878,205034
02-07-2021,418.25,494.7000122,414.6000061,474.6499939,6572742
05-07-2021,479.8999939,483,455.0499878,459.0499878,1021560
06-07-2021,459.1000061,472,439,444.6000061,373629
07-07-2021,444.1000061,455,434,440.8999939,335768
08-07-2021,441,464,441,457.2000122,613733
09-07-2021,461.25,474,454.0499878,462.5499878,442401
12-07-2021,462,469.9500122,452,455.3999939,151251
13-07-2021,457.7999878,466,447.25,452.8500061,119148
14-07-2021,453,456.2000122,440,443.25,139995
15-07-2021,445,449.4500122,434,437.1000061,118286
16-07-2021,440,469.4500122,440,442.6000061,668394
19-07-2021,442.6000061,449,436.1499939,438.6000061,155104
20-07-2021,439,446.2999878,435.8500061,440.7000122,142302
22-07-2021,446.75,458.8500061,442.1499939,449.1000061,196284
23-07-2021,453.7000122,454.8500061,440.5499878,443.8500061,139467
26-07-2021,445.1000061,449.9500122,438,439.2000122,107452
27-07-2021,445,448.7999878,436.0499878,438.6000061,203199
28-07-2021,441.75,446,411.8999939,442.8500061,265414
29-07-2021,449.2999878,453.5499878,438.3500061,442.25,132350
30-07-2021,444,454,439,449.7000122,145631
02-08-2021,455,485,451.5499878,473.6499939,1641105
03-08-2021,476.2000122,477.9500122,461.2000122,463,237469
04-08-2021,467.9500122,472.3999939,446.7999878,448.9500122,189020
05-08-2021,452.8999939,475.9500122,443.4500122,457.2000122,465250
06-08-2021,458.7999878,463.7000122,447.5499878,450.2999878,108296
09-08-2021,452.5499878,465.3999939,443.3500061,451.3500061,157077
10-08-2021,454.8500061,456.5,424.6000061,437.3999939,167903
11-08-2021,437,471.8999939,426,441.8999939,2011189
12-08-2021,455.3999939,530.25,455.3999939,519.6500244,8219543
13-08-2021,488.5,511.7999878,470.5499878,476.7999878,2807598
16-08-2021,484.2999878,493.3500061,472.25,482.5,692557
17-08-2021,481.5,492.8999939,459,463.2999878,803853
18-08-2021,462.8999939,470.3999939,457.25,463.0499878,318379
20-08-2021,459.8999939,463.6499939,450,456.8999939,306911
23-08-2021,467.7999878,467.7999878,436.3999939,444.25,390710
24-08-2021,448.8999939,462,445.1000061,451.0499878,343360
25-08-2021,454.7999878,458.2999878,446.8500061,451.1499939,159656
26-08-2021,452.8999939,460,447.25,447.9500122,137857
27-08-2021,450.9500122,466.3999939,447,450,375381
30-08-2021,454.8999939,475.2000122,454.8500061,466.3500061,509942
31-08-2021,470,517.7999878,467,479.75,3841820
01-09-2021,485,488.2999878,473.8500061,476.9500122,500244
02-09-2021,479.2999878,496,478.75,486.2999878,484637
03-09-2021,489.8999939,490.5,476.25,478.9500122,171350
06-09-2021,481,481.5,469,472.6499939,160287
07-09-2021,475,476.5,460.5499878,463.8999939,150379
